destination,origin,num,year
Afghanistan,Pakistan,106528.0,2019
Afghanistan,Tajikistan,4596.0,2019
Afghanistan,Uzbekistan,229.0,2019
Albania,Canada,856.0,2019
Albania,Greece,29852.0,2019
Albania,Italy,8405.0,2019
Albania,North Macedonia,504.0,2019
Albania,Turkey,1852.0,2019
Albania,United States of America,2242.0,2019
Algeria,France,551.0,2019
Algeria,Germany,772.0,2019
Algeria,Indonesia,1437.0,2019
Algeria,Iraq,7546.0,2019
Algeria,Italy,735.0,2019
Algeria,Jordan,2247.0,2019
Algeria,Kuwait,1189.0,2019
Algeria,Lebanon,1217.0,2019
Algeria,Libya,2314.0,2019
Algeria,Malaysia,871.0,2019
Algeria,Russian Federation,797.0,2019
Algeria,Saudi Arabia,3907.0,2019
Algeria,Somalia,11520.0,2019
Algeria,State of Palestine,31534.0,2019
Algeria,Sudan,1588.0,2019
Algeria,Syrian Arab Republic,3058.0,2019
Algeria,United Kingdom,794.0,2019
Algeria,United States of America,1087.0,2019
Algeria,Western Sahara,165223.0,2019
Algeria,Yemen,2353.0,2019
American Samoa,China,598.0,2019
American Samoa,Fiji,332.0,2019
American Samoa,New Zealand,724.0,2019
American Samoa,Philippines,1116.0,2019
American Samoa,Republic of Korea,295.0,2019
American Samoa,Samoa,15830.0,2019
American Samoa,Tokelau,20.0,2019
American Samoa,Tonga,1289.0,2019
American Samoa,United States of America,2550.0,2019
American Samoa,Viet Nam,211.0,2019
Andorra,Argentina,727.0,2019
Andorra,Australia,69.0,2019
Andorra,Belgium,229.0,2019
Andorra,Chile,228.0,2019
Andorra,Denmark,119.0,2019
Andorra,France,4151.0,2019
Andorra,Germany,361.0,2019
Andorra,Italy,488.0,2019
Andorra,Morocco,501.0,2019
Andorra,Netherlands,260.0,2019
Andorra,Philippines,453.0,2019
Andorra,Portugal,11415.0,2019
Andorra,Spain,21958.0,2019
Andorra,Sweden,52.0,2019
Andorra,Switzerland,85.0,2019
Andorra,United Kingdom,1124.0,2019
Andorra,United States of America,112.0,2019
Andorra,Uruguay,108.0,2019
Angola,Cabo Verde,9400.0,2019
Angola,Chad,1928.0,2019
Angola,Congo,1081.0,2019
Angola,Cote d'Ivoire,12896.0,2019
Angola,Democratic Republic of the Congo,92242.0,2019
Angola,Guinea,18504.0,2019
Angola,Mozambique,254.0,2019
Angola,Namibia,909.0,2019
Angola,Portugal,5711.0,2019
Angola,Rwanda,1286.0,2019
Angola,Sao Tome and Principe,6990.0,2019
Angola,South Africa,6421.0,2019
Angola,Zambia,314.0,2019
Anguilla,Canada,59.0,2019
Anguilla,Dominican Republic,677.0,2019
Anguilla,Guyana,396.0,2019
Anguilla,Jamaica,481.0,2019
Anguilla,Montserrat,295.0,2019
Anguilla,Saint Kitts and Nevis,937.0,2019
Anguilla,United Kingdom,433.0,2019
Anguilla,United States of America,471.0,2019
Anguilla,United States Virgin Islands,421.0,2019
Antigua and Barbuda,Anguilla,40.0,2019
Antigua and Barbuda,Aruba,5.0,2019
Antigua and Barbuda,Australia,7.0,2019
Antigua and Barbuda,Bahamas,2.0,2019
Antigua and Barbuda,Barbados,314.0,2019
Antigua and Barbuda,Belize,14.0,2019
Antigua and Barbuda,Bermuda,14.0,2019
Antigua and Barbuda,"Bonaire, Sint Eustatius and Saba",11.0,2019
Antigua and Barbuda,British Virgin Islands,101.0,2019
Antigua and Barbuda,Canada,451.0,2019
Antigua and Barbuda,China,139.0,2019
Antigua and Barbuda,Cuba,20.0,2019
Antigua and Barbuda,Curacao,19.0,2019
Antigua and Barbuda,Dominica,4934.0,2019
Antigua and Barbuda,Dominican Republic,1855.0,2019
Antigua and Barbuda,Egypt,10.0,2019
Antigua and Barbuda,Ethiopia,93.0,2019
Antigua and Barbuda,France,42.0,2019
Antigua and Barbuda,French Guiana,5.0,2019
Antigua and Barbuda,Germany,86.0,2019
Antigua and Barbuda,Ghana,32.0,2019
Antigua and Barbuda,Grenada,199.0,2019
Antigua and Barbuda,Guadeloupe,79.0,2019
Antigua and Barbuda,Guyana,6731.0,2019
Antigua and Barbuda,Haiti,34.0,2019
Antigua and Barbuda,Honduras,7.0,2019
Antigua and Barbuda,India,82.0,2019
Antigua and Barbuda,Italy,74.0,2019
Antigua and Barbuda,Jamaica,4149.0,2019
Antigua and Barbuda,Japan,20.0,2019
Antigua and Barbuda,Lebanon,57.0,2019
Antigua and Barbuda,Martinique,5.0,2019
Antigua and Barbuda,Mexico,5.0,2019
Antigua and Barbuda,Montserrat,1183.0,2019
Antigua and Barbuda,Netherlands,16.0,2019
Antigua and Barbuda,New Zealand,12.0,2019
Antigua and Barbuda,Nigeria,41.0,2019
Antigua and Barbuda,Puerto Rico,55.0,2019
Antigua and Barbuda,Saint Kitts and Nevis,495.0,2019
Antigua and Barbuda,Saint Lucia,703.0,2019
Antigua and Barbuda,Saint Vincent and the Grenadines,954.0,2019
Antigua and Barbuda,Sint Maarten (Dutch part),23.0,2019
Antigua and Barbuda,South Africa,46.0,2019
Antigua and Barbuda,Spain,12.0,2019
Antigua and Barbuda,Suriname,46.0,2019
Antigua and Barbuda,Syrian Arab Republic,253.0,2019
Antigua and Barbuda,Trinidad and Tobago,748.0,2019
Antigua and Barbuda,Turks and Caicos Islands,6.0,2019
Antigua and Barbuda,United Kingdom,1033.0,2019
Antigua and Barbuda,United States of America,2731.0,2019
Antigua and Barbuda,United States Virgin Islands,739.0,2019
Antigua and Barbuda,Venezuela (Bolivarian Republic of),40.0,2019
Argentina,Afghanistan,9.0,2019
Argentina,Albania,67.0,2019
Argentina,Algeria,105.0,2019
Argentina,Andorra,1.0,2019
Argentina,Angola,9.0,2019
Argentina,Armenia,570.0,2019
Argentina,Aruba,1.0,2019
Argentina,Australia,279.0,2019
Argentina,Austria,1039.0,2019
Argentina,Bahrain,12.0,2019
Argentina,Barbados,7.0,2019
Argentina,Belarus,309.0,2019
Argentina,Belgium,546.0,2019
Argentina,Belize,6.0,2019
Argentina,Bolivia (Plurinational State of),426394.0,2019
Argentina,Brazil,49647.0,2019
Argentina,Brunei Darussalam,1.0,2019
Argentina,Bulgaria,300.0,2019
Argentina,Burkina Faso,11.0,2019
Argentina,Cabo Verde,24.0,2019
Argentina,Cambodia,20.0,2019
Argentina,Canada,539.0,2019
Argentina,Chile,216855.0,2019
Argentina,China,14649.0,2019
Argentina,"China, Hong Kong SAR",4.0,2019
Argentina,Colombia,8791.0,2019
Argentina,Congo,42.0,2019
Argentina,Costa Rica,125.0,2019
Argentina,Cote d'Ivoire,1.0,2019
Argentina,Croatia,1003.0,2019
Argentina,Cuba,1125.0,2019
Argentina,Cyprus,47.0,2019
Argentina,Czechia,1824.0,2019
Argentina,Dem. People's Republic of Korea,14.0,2019
Argentina,Denmark,249.0,2019
Argentina,Dominica,4.0,2019
Argentina,Dominican Republic,695.0,2019
Argentina,Ecuador,971.0,2019
Argentina,Egypt,242.0,2019
Argentina,El Salvador,74.0,2019
Argentina,Estonia,49.0,2019
Argentina,Ethiopia,32.0,2019
Argentina,Fiji,1.0,2019
Argentina,Finland,71.0,2019
Argentina,France,8303.0,2019
Argentina,Germany,9404.0,2019
Argentina,Gibraltar,14.0,2019
Argentina,Greece,1034.0,2019
Argentina,Greenland,15.0,2019
Argentina,Grenada,11.0,2019
Argentina,Guatemala,97.0,2019
Argentina,Guinea,1.0,2019
Argentina,Haiti,41.0,2019
Argentina,Honduras,67.0,2019
Argentina,Hungary,830.0,2019
Argentina,Iceland,8.0,2019
Argentina,India,98.0,2019
Argentina,Indonesia,21.0,2019
Argentina,Iran (Islamic Republic of),139.0,2019
Argentina,Iraq,37.0,2019
Argentina,Ireland,65.0,2019
Argentina,Israel,566.0,2019
Argentina,Italy,155008.0,2019
Argentina,Jamaica,11.0,2019
Argentina,Japan,4531.0,2019
Argentina,Jordan,74.0,2019
Argentina,Kenya,2.0,2019
Argentina,Lao People's Democratic Republic,287.0,2019
Argentina,Latvia,126.0,2019
Argentina,Lebanon,804.0,2019
Argentina,Libya,51.0,2019
Argentina,Liechtenstein,79.0,2019
Argentina,Lithuania,398.0,2019
Argentina,Luxembourg,97.0,2019
Argentina,Madagascar,7.0,2019
Argentina,Malaysia,2.0,2019
Argentina,Malta,2.0,2019
Argentina,Mexico,1475.0,2019
Argentina,Micronesia (Fed. States of),4.0,2019
Argentina,Monaco,10.0,2019
Argentina,Morocco,215.0,2019
Argentina,Mozambique,11.0,2019
Argentina,Myanmar,9.0,2019
Argentina,Namibia,2.0,2019
Argentina,Netherlands,393.0,2019
Argentina,New Zealand,11.0,2019
Argentina,Nicaragua,92.0,2019
Argentina,Niger,1.0,2019
Argentina,Nigeria,43.0,2019
Argentina,North Macedonia,1515.0,2019
Argentina,Norway,59.0,2019
Argentina,Pakistan,5.0,2019
Argentina,Panama,163.0,2019
Argentina,Paraguay,690948.0,2019
Argentina,Peru,198744.0,2019
Argentina,Philippines,59.0,2019
Argentina,Poland,7443.0,2019
Argentina,Portugal,5047.0,2019
Argentina,Puerto Rico,76.0,2019
Argentina,Republic of Korea,8296.0,2019
Argentina,Republic of Moldova,463.0,2019
Argentina,Romania,1096.0,2019
Argentina,Russian Federation,1917.0,2019
Argentina,San Marino,16.0,2019
Argentina,Saudi Arabia,81.0,2019
Argentina,Singapore,2.0,2019
Argentina,Slovenia,824.0,2019
Argentina,Somalia,2.0,2019
Argentina,South Africa,128.0,2019
Argentina,Spain,99769.0,2019
Argentina,Sri Lanka,2.0,2019
Argentina,Sudan,8.0,2019
Argentina,Suriname,5.0,2019
Argentina,Sweden,207.0,2019
Argentina,Switzerland,807.0,2019
Argentina,Syrian Arab Republic,1144.0,2019
Argentina,Thailand,61.0,2019
Argentina,Trinidad and Tobago,34.0,2019
Argentina,Tunisia,45.0,2019
Argentina,Turkey,646.0,2019
Argentina,Tuvalu,4.0,2019
Argentina,Uganda,1.0,2019
Argentina,Ukraine,4485.0,2019
Argentina,United Kingdom,959.0,2019
Argentina,United Republic of Tanzania,1.0,2019
Argentina,United States of America,5225.0,2019
Argentina,Uruguay,135076.0,2019
Argentina,Vanuatu,8.0,2019
Argentina,Venezuela (Bolivarian Republic of),91315.0,2019
Argentina,Viet Nam,5.0,2019
Argentina,Zambia,1.0,2019
Argentina,Zimbabwe,2.0,2019
Armenia,Azerbaijan,78478.0,2019
Armenia,Belarus,304.0,2019
Armenia,Georgia,37886.0,2019
Armenia,Germany,631.0,2019
Armenia,Greece,1015.0,2019
Armenia,Iran (Islamic Republic of),8090.0,2019
Armenia,Iraq,1077.0,2019
Armenia,Kazakhstan,786.0,2019
Armenia,Lebanon,848.0,2019
Armenia,Russian Federation,19065.0,2019
Armenia,Syrian Arab Republic,17401.0,2019
Armenia,Turkey,539.0,2019
Armenia,Turkmenistan,811.0,2019
Armenia,Ukraine,2450.0,2019
Armenia,Uzbekistan,983.0,2019
Aruba,"Bonaire, Sint Eustatius and Saba",300.0,2019
Aruba,China,1140.0,2019
Aruba,Colombia,9874.0,2019
Aruba,Curacao,2483.0,2019
Aruba,Dominica,108.0,2019
Aruba,Dominican Republic,4377.0,2019
Aruba,Grenada,260.0,2019
Aruba,Guyana,292.0,2019
Aruba,Haiti,1650.0,2019
Aruba,India,333.0,2019
Aruba,Jamaica,754.0,2019
Aruba,Netherlands,4638.0,2019
Aruba,Nicaragua,108.0,2019
Aruba,Peru,1147.0,2019
Aruba,Philippines,1015.0,2019
Aruba,Portugal,165.0,2019
Aruba,Saint Vincent and the Grenadines,114.0,2019
Aruba,Sint Maarten (Dutch part),709.0,2019
Aruba,Suriname,1352.0,2019
Aruba,Turkey,10.0,2019
Aruba,United States of America,619.0,2019
Aruba,Venezuela (Bolivarian Republic of),3438.0,2019
Australia,Afghanistan,59798.0,2019
Australia,Albania,3872.0,2019
Australia,Algeria,1745.0,2019
Australia,Andorra,31.0,2019
Australia,Angola,592.0,2019
Australia,Antigua and Barbuda,63.0,2019
Australia,Argentina,17583.0,2019
Australia,Armenia,1629.0,2019
Australia,Aruba,74.0,2019
Australia,Austria,18091.0,2019
Australia,Azerbaijan,740.0,2019
Australia,Bahamas,327.0,2019
Australia,Bahrain,2020.0,2019
Australia,Bangladesh,51968.0,2019
Australia,Barbados,476.0,2019
Australia,Belarus,2391.0,2019
Australia,Belgium,7924.0,2019
Australia,Belize,84.0,2019
Australia,Benin,116.0,2019
Australia,Bermuda,613.0,2019
Australia,Bhutan,7797.0,2019
Australia,Bolivia (Plurinational State of),1163.0,2019
Australia,Bosnia and Herzegovina,37802.0,2019
Australia,Botswana,1512.0,2019
Australia,Brazil,42552.0,2019
Australia,Brunei Darussalam,3237.0,2019
Australia,Bulgaria,4284.0,2019
Australia,Burkina Faso,63.0,2019
Australia,Burundi,2740.0,2019
Australia,Cabo Verde,42.0,2019
Australia,Cambodia,38278.0,2019
Australia,Cameroon,539.0,2019
Australia,Canada,57798.0,2019
Australia,Cayman Islands,158.0,2019
Australia,Central African Republic,42.0,2019
Australia,Chad,63.0,2019
Australia,Chile,33707.0,2019
Australia,China,641624.0,2019
Australia,"China, Hong Kong SAR",105165.0,2019
Australia,"China, Macao SAR",3237.0,2019
Australia,Colombia,27835.0,2019
Australia,Congo,1851.0,2019
Australia,Cook Islands,8590.0,2019
Australia,Costa Rica,571.0,2019
Australia,Cote d'Ivoire,677.0,2019
Australia,Croatia,62527.0,2019
Australia,Cuba,973.0,2019
Australia,Curacao,158.0,2019
Australia,Cyprus,20514.0,2019
Australia,Czechia,13796.0,2019
Australia,Dem. People's Republic of Korea,264.0,2019
Australia,Democratic Republic of the Congo,5438.0,2019
Australia,Denmark,10685.0,2019
Australia,Djibouti,211.0,2019
Australia,Dominica,42.0,2019
Australia,Dominican Republic,232.0,2019
Australia,Ecuador,2898.0,2019
Australia,Egypt,48382.0,2019
Australia,El Salvador,12092.0,2019
Australia,Eritrea,5776.0,2019
Australia,Estonia,3819.0,2019
Australia,Eswatini,402.0,2019
Australia,Ethiopia,15668.0,2019
Australia,Falkland Islands (Malvinas),116.0,2019
Australia,Faroe Islands,21.0,2019
Australia,Fiji,79424.0,2019
Australia,Finland,9606.0,2019
Australia,France,40733.0,2019
Australia,French Guiana,21.0,2019
Australia,French Polynesia,581.0,2019
Australia,Gabon,63.0,2019
Australia,Gambia,137.0,2019
Australia,Georgia,708.0,2019
Australia,Germany,122601.0,2019
Australia,Ghana,7067.0,2019
Australia,Gibraltar,507.0,2019
Australia,Greece,117702.0,2019
Australia,Grenada,148.0,2019
Australia,Guadeloupe,21.0,2019
Australia,Guam,126.0,2019
Australia,Guatemala,603.0,2019
Australia,Guinea,1110.0,2019
Australia,Guinea-Bissau,21.0,2019
Australia,Guyana,698.0,2019
Australia,Haiti,137.0,2019
Australia,Honduras,338.0,2019
Australia,Hungary,21646.0,2019
Australia,Iceland,603.0,2019
Australia,India,568971.0,2019
Australia,Indonesia,87274.0,2019
Australia,Iran (Islamic Republic of),73002.0,2019
Australia,Iraq,89168.0,2019
Australia,Ireland,92077.0,2019
Australia,Isle of Man,983.0,2019
Australia,Israel,12442.0,2019
Australia,Italy,202617.0,2019
Australia,Jamaica,1385.0,2019
Australia,Japan,53175.0,2019
Australia,Jordan,7871.0,2019
Australia,Kazakhstan,2264.0,2019
Australia,Kenya,24122.0,2019
Australia,Kiribati,782.0,2019
Australia,Kuwait,7617.0,2019
Australia,Kyrgyzstan,592.0,2019
Australia,Lao People's Democratic Republic,11701.0,2019
Australia,Latvia,4983.0,2019
Australia,Lebanon,99705.0,2019
Australia,Lesotho,158.0,2019
Australia,Liberia,3904.0,2019
Australia,Libya,3025.0,2019
Australia,Liechtenstein,21.0,2019
Australia,Lithuania,3755.0,2019
Australia,Luxembourg,296.0,2019
Australia,Madagascar,338.0,2019
Australia,Malawi,1629.0,2019
Australia,Malaysia,174136.0,2019
Australia,Maldives,645.0,2019
Australia,Mali,95.0,2019
Australia,Malta,44552.0,2019
Australia,Marshall Islands,52.0,2019
Australia,Martinique,42.0,2019
Australia,Mauritania,63.0,2019
Australia,Mauritius,31380.0,2019
Australia,Mexico,6760.0,2019
Australia,Micronesia (Fed. States of),31.0,2019
Australia,Monaco,95.0,2019
Australia,Mongolia,3787.0,2019
Australia,Montenegro,2158.0,2019
Australia,Morocco,2454.0,2019
Australia,Mozambique,1089.0,2019
Australia,Myanmar,37537.0,2019
Australia,Namibia,1639.0,2019
Australia,Nauru,772.0,2019
Australia,Nepal,78016.0,2019
Australia,Netherlands,82100.0,2019
Australia,New Caledonia,1724.0,2019
Australia,New Zealand,600404.0,2019
Australia,Nicaragua,931.0,2019
Australia,Niger,42.0,2019
Australia,Nigeria,12135.0,2019
Australia,Niue,1036.0,2019
Australia,North Macedonia,52201.0,2019
Australia,Norway,4665.0,2019
Australia,Oman,2221.0,2019
Australia,Pakistan,81032.0,2019
Australia,Panama,285.0,2019
Australia,Paraguay,603.0,2019
Australia,Peru,12473.0,2019
Australia,Philippines,281216.0,2019
Australia,Poland,56275.0,2019
Australia,Portugal,20186.0,2019
Australia,Puerto Rico,201.0,2019
Australia,Qatar,1481.0,2019
Australia,Republic of Korea,121204.0,2019
Australia,Republic of Moldova,1248.0,2019
Australia,R¨¦union,264.0,2019
Australia,Romania,17954.0,2019
Australia,Russian Federation,28735.0,2019
Australia,Rwanda,1153.0,2019
Australia,Saint Helena,21.0,2019
Australia,Saint Kitts and Nevis,19.0,2019
Australia,Saint Lucia,13.0,2019
Australia,Saint Vincent and the Grenadines,47.0,2019
Australia,Samoa,32173.0,2019
Australia,Saudi Arabia,15171.0,2019
Australia,Senegal,476.0,2019
Australia,Serbia,35019.0,2019
Australia,Seychelles,3174.0,2019
Australia,Sierra Leone,4369.0,2019
Australia,Singapore,64739.0,2019
Australia,Slovakia,7236.0,2019
Australia,Slovenia,8305.0,2019
Australia,Solomon Islands,2581.0,2019
Australia,Somalia,9976.0,2019
Australia,South Africa,196142.0,2019
Australia,South Sudan,9342.0,2019
Australia,Spain,19594.0,2019
Australia,Sri Lanka,136979.0,2019
Australia,State of Palestine,3364.0,2019
Australia,Sudan,20620.0,2019
Australia,Suriname,179.0,2019
Australia,Sweden,12283.0,2019
Australia,Switzerland,15087.0,2019
Australia,Syrian Arab Republic,25825.0,2019
Australia,Tajikistan,169.0,2019
Australia,Thailand,80831.0,2019
Australia,Timor-Leste,10368.0,2019
Australia,Togo,402.0,2019
Australia,Tokelau,708.0,2019
Australia,Tonga,13002.0,2019
Australia,Trinidad and Tobago,1978.0,2019
Australia,Tunisia,740.0,2019
Australia,Turkey,42880.0,2019
Australia,Turkmenistan,126.0,2019
Australia,Tuvalu,211.0,2019
Australia,Uganda,4401.0,2019
Australia,Ukraine,18239.0,2019
Australia,United Arab Emirates,10939.0,2019
Australia,United Kingdom,1262204.0,2019
Australia,United Republic of Tanzania,4972.0,2019
Australia,United States of America,114549.0,2019
Australia,Uruguay,11246.0,2019
Australia,Uzbekistan,2147.0,2019
Australia,Vanuatu,1565.0,2019
Australia,Venezuela (Bolivarian Republic of),7427.0,2019
Australia,Viet Nam,265018.0,2019
Australia,Yemen,888.0,2019
Australia,Zambia,8009.0,2019
Australia,Zimbabwe,45102.0,2019
Austria,Afghanistan,20561.0,2019
Austria,Albania,3715.0,2019
Austria,Algeria,1522.0,2019
Austria,Andorra,2.0,2019
Austria,Angola,402.0,2019
Austria,Antigua and Barbuda,8.0,2019
Austria,Argentina,1797.0,2019
Austria,Armenia,3601.0,2019
Austria,Australia,2939.0,2019
Austria,Azerbaijan,1270.0,2019
Austria,Bahamas,25.0,2019
Austria,Bahrain,24.0,2019
Austria,Bangladesh,3231.0,2019
Austria,Barbados,24.0,2019
Austria,Belarus,1967.0,2019
Austria,Belgium,3039.0,2019
Austria,Belize,48.0,2019
Austria,Benin,94.0,2019
Austria,Bermuda,22.0,2019
Austria,Bhutan,28.0,2019
Austria,Bolivia (Plurinational State of),600.0,2019
Austria,Bosnia and Herzegovina,183169.0,2019
Austria,Botswana,29.0,2019
Austria,Brazil,6122.0,2019
Austria,Brunei Darussalam,7.0,2019
Austria,Bulgaria,18572.0,2019
Austria,Burkina Faso,142.0,2019
Austria,Burundi,114.0,2019
Austria,Cabo Verde,48.0,2019
Austria,Cambodia,1130.0,2019
Austria,Cameroon,772.0,2019
Austria,Canada,3006.0,2019
Austria,Central African Republic,34.0,2019
Austria,Chad,14.0,2019
Austria,Chile,1485.0,2019
Austria,China,20910.0,2019
Austria,"China, Hong Kong SAR",331.0,2019
Austria,"China, Macao SAR",20.0,2019
Austria,Colombia,1853.0,2019
Austria,Congo,539.0,2019
Austria,Costa Rica,211.0,2019
Austria,Cote d'Ivoire,251.0,2019
Austria,Croatia,47226.0,2019
Austria,Cuba,1037.0,2019
Austria,Cyprus,383.0,2019
Austria,Czechia,64923.0,2019
Austria,Dem. People's Republic of Korea,3171.0,2019
Austria,Democratic Republic of the Congo,826.0,2019
Austria,Denmark,1673.0,2019
Austria,Djibouti,8.0,2019
Austria,Dominica,60.0,2019
Austria,Dominican Republic,3689.0,2019
Austria,Ecuador,781.0,2019
Austria,Egypt,17578.0,2019
Austria,El Salvador,80.0,2019
Austria,Equatorial Guinea,11.0,2019
Austria,Eritrea,122.0,2019
Austria,Estonia,439.0,2019
Austria,Eswatini,27.0,2019
Austria,Ethiopia,1506.0,2019
Austria,Fiji,21.0,2019
Austria,Finland,1886.0,2019
Austria,France,10581.0,2019
Austria,Gabon,28.0,2019
Austria,Gambia,741.0,2019
Austria,Georgia,3914.0,2019
Austria,Germany,264081.0,2019
Austria,Ghana,2920.0,2019
Austria,Greece,4725.0,2019
Austria,Grenada,17.0,2019
Austria,Guam,1.0,2019
Austria,Guatemala,439.0,2019
Austria,Guinea,357.0,2019
Austria,Guinea-Bissau,80.0,2019
Austria,Guyana,22.0,2019
Austria,Haiti,74.0,2019
Austria,Honduras,115.0,2019
Austria,Hungary,52494.0,2019
Austria,Iceland,221.0,2019
Austria,India,16026.0,2019
Austria,Indonesia,1433.0,2019
Austria,Iran (Islamic Republic of),18291.0,2019
Austria,Iraq,6521.0,2019
Austria,Ireland,1162.0,2019
Austria,Israel,3024.0,2019
Austria,Italy,35105.0,2019
Austria,Jamaica,245.0,2019
Austria,Japan,3506.0,2019
Austria,Jordan,884.0,2019
Austria,Kazakhstan,1302.0,2019
Austria,Kenya,1159.0,2019
Austria,Kuwait,298.0,2019
Austria,Kyrgyzstan,764.0,2019
Austria,Lao People's Democratic Republic,146.0,2019
Austria,Latvia,951.0,2019
Austria,Lebanon,2173.0,2019
Austria,Lesotho,4.0,2019
Austria,Liberia,323.0,2019
Austria,Libya,541.0,2019
Austria,Liechtenstein,446.0,2019
Austria,Lithuania,1073.0,2019
Austria,Luxembourg,900.0,2019
Austria,Madagascar,88.0,2019
Austria,Malawi,44.0,2019
Austria,Malaysia,570.0,2019
Austria,Maldives,10.0,2019
Austria,Mali,116.0,2019
Austria,Malta,127.0,2019
Austria,Mauritania,38.0,2019
Austria,Mauritius,134.0,2019
Austria,Mexico,1784.0,2019
Austria,Micronesia (Fed. States of),1.0,2019
Austria,Monaco,28.0,2019
Austria,Mongolia,2129.0,2019
Austria,Montenegro,25784.0,2019
Austria,Morocco,2273.0,2019
Austria,Mozambique,79.0,2019
Austria,Myanmar,83.0,2019
Austria,Namibia,216.0,2019
Austria,Nauru,1.0,2019
Austria,Nepal,694.0,2019
Austria,Netherlands,10005.0,2019
Austria,New Zealand,522.0,2019
Austria,Nicaragua,245.0,2019
Austria,Niger,36.0,2019
Austria,Nigeria,10016.0,2019
Austria,North Macedonia,25877.0,2019
Austria,Norway,1140.0,2019
Austria,Oman,36.0,2019
Austria,Pakistan,5682.0,2019
Austria,Palau,1.0,2019
Austria,Panama,73.0,2019
Austria,Papua New Guinea,70.0,2019
Austria,Paraguay,270.0,2019
Austria,Peru,1992.0,2019
Austria,Philippines,16356.0,2019
Austria,Poland,77899.0,2019
Austria,Portugal,2033.0,2019
Austria,Puerto Rico,7.0,2019
Austria,Qatar,29.0,2019
Austria,Republic of Korea,147.0,2019
Austria,Republic of Moldova,2100.0,2019
Austria,Romania,82949.0,2019
Austria,Russian Federation,36562.0,2019
Austria,Rwanda,249.0,2019
Austria,Saint Kitts and Nevis,2.0,2019
Austria,Saint Lucia,16.0,2019
Austria,Saint Vincent and the Grenadines,11.0,2019
Austria,Samoa,4.0,2019
Austria,San Marino,1.0,2019
Austria,Sao Tome and Principe,2.0,2019
Austria,Saudi Arabia,563.0,2019
Austria,Senegal,395.0,2019
Austria,Serbia,230404.0,2019
Austria,Seychelles,51.0,2019
Austria,Sierra Leone,315.0,2019
Austria,Singapore,337.0,2019
Austria,Slovakia,32073.0,2019
Austria,Slovenia,21140.0,2019
Austria,Solomon Islands,16.0,2019
Austria,Somalia,1434.0,2019
Austria,South Africa,3295.0,2019
Austria,Spain,4865.0,2019
Austria,Sri Lanka,1158.0,2019
Austria,State of Palestine,326.0,2019
Austria,Sudan,749.0,2019
Austria,Suriname,23.0,2019
Austria,Sweden,4191.0,2019
Austria,Switzerland,18654.0,2019
Austria,Syrian Arab Republic,11757.0,2019
Austria,Tajikistan,335.0,2019
Austria,Thailand,6615.0,2019
Austria,Togo,258.0,2019
Austria,Tonga,8.0,2019
Austria,Trinidad and Tobago,82.0,2019
Austria,Tunisia,4356.0,2019
Austria,Turkey,218201.0,2019
Austria,Turkmenistan,165.0,2019
Austria,Tuvalu,14.0,2019
Austria,Uganda,323.0,2019
Austria,Ukraine,9717.0,2019
Austria,United Arab Emirates,207.0,2019
Austria,United Kingdom,13000.0,2019
Austria,United Republic of Tanzania,185.0,2019
Austria,United States of America,13049.0,2019
Austria,Uruguay,332.0,2019
Austria,Uzbekistan,890.0,2019
Austria,Vanuatu,8.0,2019
Austria,Venezuela (Bolivarian Republic of),1080.0,2019
Austria,Viet Nam,3947.0,2019
Austria,Yemen,112.0,2019
Austria,Zambia,133.0,2019
Austria,Zimbabwe,351.0,2019
Azerbaijan,Afghanistan,178.0,2019
Azerbaijan,Armenia,142650.0,2019
Azerbaijan,Belarus,441.0,2019
Azerbaijan,Estonia,466.0,2019
Azerbaijan,Georgia,49137.0,2019
Azerbaijan,Germany,273.0,2019
Azerbaijan,Iran (Islamic Republic of),1470.0,2019
Azerbaijan,Kazakhstan,3479.0,2019
Azerbaijan,Kyrgyzstan,2455.0,2019
Azerbaijan,Republic of Moldova,271.0,2019
Azerbaijan,Russian Federation,27633.0,2019
Azerbaijan,Tajikistan,239.0,2019
Azerbaijan,Turkey,2037.0,2019
Azerbaijan,Turkmenistan,1656.0,2019
Azerbaijan,Ukraine,2706.0,2019
Azerbaijan,Uzbekistan,16362.0,2019
Bahamas,Antigua and Barbuda,14.0,2019
Bahamas,Argentina,117.0,2019
Bahamas,Australia,88.0,2019
Bahamas,Austria,42.0,2019
Bahamas,Barbados,252.0,2019
Bahamas,Belgium,31.0,2019
Bahamas,Belize,46.0,2019
Bahamas,Bermuda,41.0,2019
Bahamas,Botswana,14.0,2019
Bahamas,Brazil,128.0,2019
Bahamas,British Virgin Islands,3.0,2019
Bahamas,Bulgaria,22.0,2019
Bahamas,Canada,1663.0,2019
Bahamas,Cayman Islands,24.0,2019
Bahamas,Chile,37.0,2019
Bahamas,China,182.0,2019
Bahamas,"China, Hong Kong SAR",27.0,2019
Bahamas,Colombia,204.0,2019
Bahamas,Costa Rica,57.0,2019
Bahamas,Cuba,425.0,2019
Bahamas,Denmark,16.0,2019
Bahamas,Dominica,79.0,2019
Bahamas,Dominican Republic,308.0,2019
Bahamas,Ecuador,45.0,2019
Bahamas,Egypt,32.0,2019
Bahamas,El Salvador,77.0,2019
Bahamas,Estonia,16.0,2019
Bahamas,Eswatini,12.0,2019
Bahamas,France,151.0,2019
Bahamas,Germany,306.0,2019
